"day","Leq","Lden","Lday","Levn","Lnight"
"day1","62.7504942289425","65.8760280003137","65.0413763049841","57.2364777431777","57.7680953608098"
"day2","60.4856047874506","64.1390663391584","62.6227691585787","54.9680210848857","56.5711649669125"
"day3","59.4335591176306","64.3817647396388","60.8015181245147","57.3732920606581","57.4511109685716"
"day4","58.4304768901223","62.4780669396027","60.2286735646126","56.0069415013112","54.9085660748572"
"day5","59.4927673686556","63.0222252855219","61.5243935761495","56.4217277082946","55.0407696555804"
"day6","62.5142959963583","64.9655581387365","64.9926698317653","56.4036252621987","56.0050561341359"
"day7","59.9115882214368","62.0748692406632","62.434593673657","54.2523621543677","52.5258197947098"
