Hour,Date,mean_sec
12:00:00 AM,08/12/21,63.56
01:00:00 AM,08/12/21,61.95
02:00:00 AM,08/12/21,61.19
03:00:00 AM,08/12/21,59.56
04:00:00 AM,08/12/21,59.31
05:00:00 AM,08/12/21,64.89
06:00:00 AM,08/12/21,67.55
07:00:00 AM,08/12/21,69.46
08:00:00 AM,08/12/21,68.01
09:00:00 AM,08/12/21,67.75
10:00:00 AM,08/12/21,68.77
11:00:00 AM,08/12/21,68.26
12:00:00 PM,08/12/21,68.13
01:00:00 PM,08/12/21,68.29
02:00:00 PM,08/12/21,67.59
03:00:00 PM,08/12/21,69.4
04:00:00 PM,08/12/21,69.3
05:00:00 PM,08/12/21,71.69
06:00:00 PM,08/12/21,70.26
07:00:00 PM,08/12/21,69.14
08:00:00 PM,08/12/21,68.98
09:00:00 PM,08/12/21,67.95
10:00:00 PM,08/12/21,65.86
11:00:00 PM,08/12/21,65.87
12:00:00 AM,08/13/21,63.09
01:00:00 AM,08/13/21,64.03
02:00:00 AM,08/13/21,61.6
03:00:00 AM,08/13/21,59.68
04:00:00 AM,08/13/21,61.75
05:00:00 AM,08/13/21,64.37
06:00:00 AM,08/13/21,67.55
07:00:00 AM,08/13/21,69.42
08:00:00 AM,08/13/21,68.47
09:00:00 AM,08/13/21,68.7
10:00:00 AM,08/13/21,68.07
11:00:00 AM,08/13/21,68.18
12:00:00 PM,08/13/21,68.43
01:00:00 PM,08/13/21,67.45
02:00:00 PM,08/13/21,68.2
03:00:00 PM,08/13/21,69.51
04:00:00 PM,08/13/21,68.13
05:00:00 PM,08/13/21,70.73
06:00:00 PM,08/13/21,69.94
07:00:00 PM,08/13/21,68.16
08:00:00 PM,08/13/21,67.55
09:00:00 PM,08/13/21,69.07
10:00:00 PM,08/13/21,68.78
11:00:00 PM,08/13/21,67.97
12:00:00 AM,08/14/21,69.28
01:00:00 AM,08/14/21,62.94
02:00:00 AM,08/14/21,65.93
03:00:00 AM,08/14/21,60.82
04:00:00 AM,08/14/21,64.79
05:00:00 AM,08/14/21,66.24
06:00:00 AM,08/14/21,67.02
07:00:00 AM,08/14/21,68.39
08:00:00 AM,08/14/21,69.69
09:00:00 AM,08/14/21,71.22
10:00:00 AM,08/14/21,68.58
11:00:00 AM,08/14/21,69.29
12:00:00 PM,08/14/21,69.25
01:00:00 PM,08/14/21,70.6
02:00:00 PM,08/14/21,68.67
03:00:00 PM,08/14/21,69.5
04:00:00 PM,08/14/21,68.18
05:00:00 PM,08/14/21,70.77
06:00:00 PM,08/14/21,69.44
07:00:00 PM,08/14/21,67.86
08:00:00 PM,08/14/21,68.51
09:00:00 PM,08/14/21,68.59
10:00:00 PM,08/14/21,66
11:00:00 PM,08/14/21,66.48
12:00:00 AM,08/15/21,64.79
01:00:00 AM,08/15/21,63.36
02:00:00 AM,08/15/21,61.87
03:00:00 AM,08/15/21,63.01
04:00:00 AM,08/15/21,63.01
05:00:00 AM,08/15/21,64.09
06:00:00 AM,08/15/21,66.14
07:00:00 AM,08/15/21,66.99
08:00:00 AM,08/15/21,68.23
09:00:00 AM,08/15/21,67.96
10:00:00 AM,08/15/21,69.99
11:00:00 AM,08/15/21,69
12:00:00 PM,08/15/21,67.83
01:00:00 PM,08/15/21,68.44
02:00:00 PM,08/15/21,67.54
03:00:00 PM,08/15/21,68.88
04:00:00 PM,08/15/21,68.51
05:00:00 PM,08/15/21,69.39
06:00:00 PM,08/15/21,68.58
07:00:00 PM,08/15/21,67.85
08:00:00 PM,08/15/21,68.15
09:00:00 PM,08/15/21,68.46
10:00:00 PM,08/15/21,67.27
11:00:00 PM,08/15/21,65.49
12:00:00 AM,08/16/21,65.36
01:00:00 AM,08/16/21,62.28
02:00:00 AM,08/16/21,63.49
03:00:00 AM,08/16/21,58.07
04:00:00 AM,08/16/21,58.98
05:00:00 AM,08/16/21,62.3
06:00:00 AM,08/16/21,66.89
07:00:00 AM,08/16/21,69.55
08:00:00 AM,08/16/21,67.85
09:00:00 AM,08/16/21,68.02
10:00:00 AM,08/16/21,68.47
11:00:00 AM,08/16/21,68.02
12:00:00 PM,08/16/21,68.18
01:00:00 PM,08/16/21,67.18
02:00:00 PM,08/16/21,68.07
03:00:00 PM,08/16/21,68.39
04:00:00 PM,08/16/21,68.64
05:00:00 PM,08/16/21,70.64
06:00:00 PM,08/16/21,70.7
07:00:00 PM,08/16/21,67.83
08:00:00 PM,08/16/21,67.89
09:00:00 PM,08/16/21,66.91
10:00:00 PM,08/16/21,65.75
11:00:00 PM,08/16/21,66.41
12:00:00 AM,08/17/21,67.57
01:00:00 AM,08/17/21,63.77
02:00:00 AM,08/17/21,58.17
03:00:00 AM,08/17/21,60.4
04:00:00 AM,08/17/21,59.74
05:00:00 AM,08/17/21,63.36
06:00:00 AM,08/17/21,67.41
07:00:00 AM,08/17/21,69.64
08:00:00 AM,08/17/21,68.54
09:00:00 AM,08/17/21,68.37
10:00:00 AM,08/17/21,68.04
11:00:00 AM,08/17/21,67.1
12:00:00 PM,08/17/21,67.56
01:00:00 PM,08/17/21,67.56
02:00:00 PM,08/17/21,67.75
03:00:00 PM,08/17/21,67.96
04:00:00 PM,08/17/21,68.46
05:00:00 PM,08/17/21,70.17
06:00:00 PM,08/17/21,71.13
07:00:00 PM,08/17/21,67.36
08:00:00 PM,08/17/21,67.92
09:00:00 PM,08/17/21,67.32
10:00:00 PM,08/17/21,65.13
11:00:00 PM,08/17/21,65.64
12:00:00 AM,08/18/21,61.72
01:00:00 AM,08/18/21,61.19
02:00:00 AM,08/18/21,58.32
03:00:00 AM,08/18/21,58.43
04:00:00 AM,08/18/21,58.67
05:00:00 AM,08/18/21,62.08
06:00:00 AM,08/18/21,67.14
07:00:00 AM,08/18/21,68.8
08:00:00 AM,08/18/21,68.4
09:00:00 AM,08/18/21,68.1
10:00:00 AM,08/18/21,68.18
11:00:00 AM,08/18/21,67.7
12:00:00 PM,08/18/21,67.32
01:00:00 PM,08/18/21,67.23
02:00:00 PM,08/18/21,68.11
03:00:00 PM,08/18/21,67.23
04:00:00 PM,08/18/21,68.48
05:00:00 PM,08/18/21,70.4
06:00:00 PM,08/18/21,69.21
07:00:00 PM,08/18/21,68.43
08:00:00 PM,08/18/21,68.65
09:00:00 PM,08/18/21,66.68
10:00:00 PM,08/18/21,65.78
11:00:00 PM,08/18/21,64.76
