Hour,Date,mean_sec
07:00:00 AM,08/18/21,49.08045994
08:00:00 AM,08/18/21,56.06993567
09:00:00 AM,08/18/21,58.28104054
10:00:00 AM,08/18/21,54.02379765
11:00:00 AM,08/18/21,50.4382871
12:00:00 PM,08/18/21,49.93142978
01:00:00 PM,08/18/21,49.37511407
02:00:00 PM,08/18/21,49.26124427
03:00:00 PM,08/18/21,49.89782754
04:00:00 PM,08/18/21,49.40290892
05:00:00 PM,08/18/21,49.88988377
06:00:00 PM,08/18/21,56.22650473
07:00:00 PM,08/18/21,55.41673018
08:00:00 PM,08/18/21,56.35968972
09:00:00 PM,08/18/21,55.79540051
10:00:00 PM,08/18/21,55.59508032
11:00:00 PM,08/18/21,55.41100528
