"day","Leq","Lden","Lday","Levn","Lnight"
"day1","54.9437332999273","61.2032650959807","55.1127986716384","54.7708106984541","54.7663222311046"
"day2","55.4786113002086","60.7990019205041","56.7053443177681","52.8824969728253","54.1437835586009"
"day3","52.3842065362378","58.6565483031834","52.9754836122678","49.6338790722959","52.4523015976072"
"day4","54.8257520578137","58.4952214402118","56.4385880675842","54.8593129259238","49.8981540687083"
"day5","55.8592659030125","60.6968666135853","57.299623703333","53.6426453876608","53.7123052933082"
"day6","53.7943993960695","59.8446858241147","54.6057478549576","50.6163329545844","53.5778392788475"
"day7","53.212394619672","58.6123385684549","53.1753243079454","55.8064334393717","51.0238189036726"
