"hr8","min","sec","dBA","Time"
14,19,0,39.4270313789462,"14:19:0"
14,19,0,38.9382120293254,"14:19:0"
14,19,0,39.2009889365325,"14:19:0"
14,19,0,40.8293629237703,"14:19:0"
14,19,0,42.3369574403632,"14:19:0"
14,19,0,52.0621590051116,"14:19:0"
14,19,0,45.5052301280244,"14:19:0"
14,19,0,42.2457964182878,"14:19:0"
14,19,0,39.494127346765,"14:19:0"
14,19,0,41.0380168457719,"14:19:0"
14,19,0,51.6641914129156,"14:19:0"
14,19,0,46.6586879123288,"14:19:0"
14,19,0,44.2323258501328,"14:19:0"
14,19,0,41.6101834707692,"14:19:0"
14,19,0,46.1560003672271,"14:19:0"
14,19,0,41.1811527322698,"14:19:0"
14,19,0,45.6311835607304,"14:19:0"
14,19,0,50.0952083372831,"14:19:0"
14,19,0,43.6216048901807,"14:19:0"
14,19,0,41.0032307897359,"14:19:0"
14,19,0,46.2276548358858,"14:19:0"
14,19,0,48.2064008897013,"14:19:0"
14,19,0,45.037079390865,"14:19:0"
14,19,0,53.934132143238,"14:19:0"
14,19,0,44.081087056529,"14:19:0"
14,19,0,42.3726654685337,"14:19:0"
14,19,0,42.9204303899766,"14:19:0"
14,19,0,46.9311086961422,"14:19:0"
14,19,0,43.1297831647333,"14:19:0"
14,19,0,51.8988148765652,"14:19:0"
14,19,0,43.0976304601321,"14:19:0"
14,19,0,44.0984842870716,"14:19:0"
14,19,0,53.1774691348994,"14:19:0"
14,19,0,49.6907873921729,"14:19:0"
14,19,0,47.712456970906,"14:19:0"
14,19,0,52.5264442934093,"14:19:0"
14,19,0,45.8336778687655,"14:19:0"
14,19,0,56.0948792554556,"14:19:0"
14,19,0,58.9984224644556,"14:19:0"
14,19,0,50.0479588901346,"14:19:0"
14,19,0,49.3097050396839,"14:19:0"
14,19,0,47.3814223519767,"14:19:0"
14,19,0,53.6298988571909,"14:19:0"
14,19,0,50.5750374781382,"14:19:0"
14,19,0,62.2380834734756,"14:19:0"
14,19,0,50.3177099970555,"14:19:0"
14,20,0,44.7080540707603,"14:20:0"
14,20,0,59.8607370007496,"14:20:0"
14,20,0,50.1080765408762,"14:20:0"
14,20,0,46.6662234392366,"14:20:0"
14,20,0,53.9874465831893,"14:20:0"
14,20,0,58.1948863563086,"14:20:0"
14,20,0,41.215559434497,"14:20:0"
14,20,0,39.8183250171779,"14:20:0"
14,20,0,40.2120445867662,"14:20:0"
14,20,0,44.3300388918589,"14:20:0"
14,20,0,45.3036235149941,"14:20:0"
14,20,0,44.5402212593537,"14:20:0"
14,20,0,39.9937240920576,"14:20:0"
14,20,0,53.279032279324,"14:20:0"
14,20,0,40.5228535438601,"14:20:0"
14,20,0,39.5624444983798,"14:20:0"
14,20,0,38.4702771876501,"14:20:0"
14,20,0,39.7651689802213,"14:20:0"
14,20,0,38.7104704170515,"14:20:0"
14,20,0,40.0581693476149,"14:20:0"
14,20,0,39.3428219463344,"14:20:0"
14,20,0,39.0842281496631,"14:20:0"
14,20,0,38.7252083357906,"14:20:0"
14,20,0,44.4945888020315,"14:20:0"
14,20,0,43.8466275871379,"14:20:0"
14,20,0,49.2347073876027,"14:20:0"
14,20,0,53.2287252384628,"14:20:0"
14,20,0,55.6817652786138,"14:20:0"
14,20,0,51.347196974651,"14:20:0"
14,20,0,47.8576658486239,"14:20:0"
14,20,0,45.741166053847,"14:20:0"
14,20,0,45.0997682740974,"14:20:0"
14,20,0,50.6677287647604,"14:20:0"
14,20,0,47.587049874716,"14:20:0"
14,20,0,54.6499102115619,"14:20:0"
14,20,0,60.6994068696081,"14:20:0"
14,20,0,57.1013849494008,"14:20:0"
14,20,0,43.5630756107356,"14:20:0"
14,20,0,44.6067437388655,"14:20:0"
14,20,0,39.2071985005445,"14:20:0"
14,20,0,37.9634135670586,"14:20:0"
14,20,0,41.0142084776164,"14:20:0"
14,20,0,43.679255163784,"14:20:0"
14,20,0,45.3708195808485,"14:20:0"
14,20,0,62.3265912479519,"14:20:0"
14,20,0,62.2437545993251,"14:20:0"
14,20,0,63.3455124603209,"14:20:0"
14,20,0,62.5514308833234,"14:20:0"
14,20,0,62.2420031934844,"14:20:0"
14,20,0,62.6690835397139,"14:20:0"
14,20,0,62.418051788579,"14:20:0"
14,20,0,62.4268996263791,"14:20:0"
14,20,0,62.4073563304631,"14:20:0"
14,20,0,62.8161152446974,"14:20:0"
14,20,0,62.5568572463484,"14:20:0"
14,20,0,62.3050020556222,"14:20:0"
14,20,0,62.3552937832,"14:20:0"
14,20,0,62.0918815282565,"14:20:0"
14,20,0,62.2359632608073,"14:20:0"
14,20,0,62.5481412897197,"14:20:0"
14,21,0,62.5662435728746,"14:21:0"
14,21,0,62.331691612445,"14:21:0"
14,21,0,62.4258288366361,"14:21:0"
14,21,0,62.7906642588002,"14:21:0"
14,21,0,62.3581644357856,"14:21:0"
14,21,0,62.4755670393721,"14:21:0"
14,21,0,62.5651105836655,"14:21:0"
14,21,0,62.4432404565284,"14:21:0"
14,21,0,62.2619248438956,"14:21:0"
14,21,0,62.5712229232469,"14:21:0"
14,21,0,62.34188633844,"14:21:0"
14,21,0,62.4235174110699,"14:21:0"
14,21,0,62.4900898933696,"14:21:0"
14,21,0,62.3582017084178,"14:21:0"
14,21,0,62.422516028194,"14:21:0"
14,21,0,62.3264321859934,"14:21:0"
14,21,0,62.7896658884717,"14:21:0"
14,21,0,62.8498031349292,"14:21:0"
14,21,0,62.8001556285334,"14:21:0"
14,21,0,62.5500335938702,"14:21:0"
14,21,0,62.511784558954,"14:21:0"
14,21,0,62.6142051991831,"14:21:0"
14,21,0,62.7547503388881,"14:21:0"
14,21,0,62.6107840110688,"14:21:0"
14,21,0,62.5166053642913,"14:21:0"
14,21,0,62.5023628592108,"14:21:0"
14,21,0,62.6883420718224,"14:21:0"
14,21,0,62.4041213186736,"14:21:0"
14,21,0,62.1907264318094,"14:21:0"
14,21,0,62.3669761204091,"14:21:0"
14,21,0,62.7484713295357,"14:21:0"
14,21,0,62.3678932835184,"14:21:0"
14,21,0,62.3729609096093,"14:21:0"
14,21,0,62.3695760302739,"14:21:0"
14,21,0,62.4787831185684,"14:21:0"
14,21,0,62.5349960236175,"14:21:0"
14,21,0,62.8148225478193,"14:21:0"
14,21,0,62.3018898043506,"14:21:0"
14,21,0,62.486673044425,"14:21:0"
14,21,0,62.3379729228985,"14:21:0"
14,21,0,62.2869260196434,"14:21:0"
14,21,0,62.5671762027082,"14:21:0"
14,21,0,62.5026195227191,"14:21:0"
14,21,0,62.6173318697699,"14:21:0"
14,21,0,62.1295002139281,"14:21:0"
14,21,0,62.3879522333004,"14:21:0"
14,21,0,62.1212925356812,"14:21:0"
14,21,0,62.463373489276,"14:21:0"
14,21,0,62.400739471276,"14:21:0"
14,21,0,62.3467546506345,"14:21:0"
14,21,0,62.1753275741237,"14:21:0"
14,21,0,63.1285558885247,"14:21:0"
14,21,0,62.7071694453873,"14:21:0"
14,21,0,62.2040197086917,"14:21:0"
14,21,0,62.2038480040274,"14:21:0"
14,21,0,62.3011914243261,"14:21:0"
14,21,0,62.1651450064733,"14:21:0"
14,21,0,62.447641211202,"14:21:0"
14,21,0,62.3838555253771,"14:21:0"
14,22,0,62.4004773821196,"14:22:0"
14,22,0,62.297673852482,"14:22:0"
14,22,0,62.3998075681904,"14:22:0"
14,22,0,62.5975175489626,"14:22:0"
14,22,0,62.2641512669186,"14:22:0"
14,22,0,62.5218120574599,"14:22:0"
14,22,0,62.6025209971776,"14:22:0"
14,22,0,62.1237320050757,"14:22:0"
14,22,0,62.2871001261222,"14:22:0"
14,22,0,62.4002139660209,"14:22:0"
14,22,0,62.8316700442442,"14:22:0"
14,22,0,62.4319036009089,"14:22:0"
14,22,0,62.3594631404452,"14:22:0"
14,22,0,62.5587344318179,"14:22:0"
14,22,0,62.203578621463,"14:22:0"
14,22,0,62.3121581253492,"14:22:0"
14,22,0,62.4056670570149,"14:22:0"
14,22,0,62.4728478531921,"14:22:0"
14,22,0,62.2956050353283,"14:22:0"
14,22,0,62.3564104508714,"14:22:0"
14,22,0,62.7773615813459,"14:22:0"
14,22,0,62.7494911168323,"14:22:0"
14,22,0,62.2947360989732,"14:22:0"
14,22,0,62.6128441883306,"14:22:0"
14,22,0,62.5207592650251,"14:22:0"
14,22,0,62.6815174273277,"14:22:0"
14,22,0,62.6375365243538,"14:22:0"
14,22,0,62.4734126727166,"14:22:0"
14,22,0,62.5335274027423,"14:22:0"
14,22,0,62.4923712028318,"14:22:0"
14,22,0,62.4822524599292,"14:22:0"
14,22,0,62.3571850608944,"14:22:0"
14,22,0,62.4383754944049,"14:22:0"
14,22,0,62.4208756459939,"14:22:0"
14,22,0,62.3325472673698,"14:22:0"
14,22,0,62.3141110526766,"14:22:0"
14,22,0,62.401756802142,"14:22:0"
14,22,0,62.5009520002603,"14:22:0"
14,22,0,62.287333245721,"14:22:0"
14,22,0,62.6650617834296,"14:22:0"
14,22,0,62.3478658782273,"14:22:0"
14,22,0,62.5086431242051,"14:22:0"
14,22,0,62.1908586779001,"14:22:0"
14,22,0,62.6293501314251,"14:22:0"
14,22,0,62.2877582397453,"14:22:0"
14,22,0,62.2002722597909,"14:22:0"
14,22,0,62.5276918747258,"14:22:0"
