"hr8","min","sec","dBA","Time"
14,42,0,62.2792344861441,"14:42:0"
14,42,0,62.156515532276,"14:42:0"
14,42,0,62.339151093791,"14:42:0"
14,42,0,62.4349430062906,"14:42:0"
14,42,0,62.4200486610424,"14:42:0"
14,42,0,62.4748565776024,"14:42:0"
14,42,0,62.0927026567872,"14:42:0"
14,42,0,62.5035099424182,"14:42:0"
14,42,0,62.3234880692796,"14:42:0"
14,42,0,62.0745684326787,"14:42:0"
14,42,0,62.0040899343023,"14:42:0"
14,42,0,62.5741393921288,"14:42:0"
14,42,0,62.2834539949686,"14:42:0"
14,42,0,62.3488824030619,"14:42:0"
14,42,0,62.2041683583844,"14:42:0"
14,42,0,62.0689356634639,"14:42:0"
14,42,0,62.1120708434693,"14:42:0"
14,42,0,62.4403467175553,"14:42:0"
14,42,0,62.1072513232697,"14:42:0"
14,42,0,62.4151182782619,"14:42:0"
14,42,0,62.1822297277756,"14:42:0"
14,42,0,62.3499363500927,"14:42:0"
14,42,0,62.374757042645,"14:42:0"
14,42,0,62.405309896806,"14:42:0"
14,42,0,62.4482653505298,"14:42:0"
14,42,0,62.1849714347282,"14:42:0"
14,42,0,62.412852435344,"14:42:0"
14,42,0,62.4112027392783,"14:42:0"
14,42,0,62.2562655078166,"14:42:0"
14,42,0,62.2731362844319,"14:42:0"
14,42,0,62.4148982972274,"14:42:0"
14,42,0,62.9343460568608,"14:42:0"
14,42,0,62.3258738708248,"14:42:0"
14,42,0,62.0371450779688,"14:42:0"
14,42,0,62.2849701865301,"14:42:0"
14,42,0,62.3578957424859,"14:42:0"
14,42,0,62.5720916814638,"14:42:0"
14,42,0,62.2287086151214,"14:42:0"
14,42,0,62.1598540075537,"14:42:0"
14,42,0,62.19633097269,"14:42:0"
14,42,0,62.2381030173874,"14:42:0"
14,42,0,62.2422998607272,"14:42:0"
14,42,0,62.2976947341999,"14:42:0"
14,42,0,62.3812017772194,"14:42:0"
14,42,0,62.4521045980506,"14:42:0"
14,42,0,62.5313621934178,"14:42:0"
14,42,0,62.2320039062294,"14:42:0"
14,42,0,62.0619545719556,"14:42:0"
14,42,0,62.2967641974737,"14:42:0"
14,42,0,62.2877030448501,"14:42:0"
14,42,0,62.4210802091374,"14:42:0"
14,42,0,62.3605303818249,"14:42:0"
14,42,0,62.3781827551556,"14:42:0"
14,42,0,62.5304578494452,"14:42:0"
14,42,0,62.1370307838392,"14:42:0"
14,42,0,62.1904332346275,"14:42:0"
14,42,0,62.3235572611566,"14:42:0"
14,42,0,62.3827901756543,"14:42:0"
14,43,0,62.3707601711015,"14:43:0"
14,43,0,62.4728655537427,"14:43:0"
14,43,0,62.3547705421071,"14:43:0"
14,43,0,62.2315903072279,"14:43:0"
14,43,0,62.4269235036994,"14:43:0"
14,43,0,62.2271163529093,"14:43:0"
14,43,0,62.263825369775,"14:43:0"
14,43,0,62.154647463477,"14:43:0"
14,43,0,62.1472171696432,"14:43:0"
14,43,0,62.3686065776844,"14:43:0"
14,43,0,62.105290195119,"14:43:0"
14,43,0,62.2382128626148,"14:43:0"
14,43,0,62.659695814319,"14:43:0"
14,43,0,62.2548386488183,"14:43:0"
14,43,0,62.7990184099509,"14:43:0"
14,43,0,62.4113525282849,"14:43:0"
14,43,0,62.3449035283629,"14:43:0"
14,43,0,62.1431255246282,"14:43:0"
14,43,0,62.1397828381505,"14:43:0"
14,43,0,62.4823507209233,"14:43:0"
14,43,0,62.3342247464218,"14:43:0"
14,43,0,62.3881205178019,"14:43:0"
14,43,0,62.3112029415728,"14:43:0"
14,43,0,62.2455742243061,"14:43:0"
14,43,0,62.4498020514577,"14:43:0"
14,43,0,62.2296261782571,"14:43:0"
14,43,0,62.41776060438,"14:43:0"
14,43,0,62.4188429342377,"14:43:0"
14,43,0,62.6058048564031,"14:43:0"
14,43,0,62.2278907366721,"14:43:0"
14,43,0,62.329857463381,"14:43:0"
14,43,0,62.9568963794496,"14:43:0"
14,43,0,62.3776314157298,"14:43:0"
14,43,0,62.1085858555321,"14:43:0"
14,43,0,62.2934714526047,"14:43:0"
14,43,0,62.3666457883494,"14:43:0"
14,43,0,62.3251229195541,"14:43:0"
14,43,0,62.4274356381653,"14:43:0"
14,43,0,62.6144659197521,"14:43:0"
14,43,0,62.442673311387,"14:43:0"
14,43,0,62.3250427182491,"14:43:0"
14,43,0,62.1499292357964,"14:43:0"
14,43,0,62.4746448421526,"14:43:0"
14,43,0,62.4085307877068,"14:43:0"
14,43,0,62.3278899275495,"14:43:0"
14,43,0,62.5465714386138,"14:43:0"
14,43,0,62.430611580171,"14:43:0"
14,43,0,62.2464119756811,"14:43:0"
14,43,0,62.4511204381581,"14:43:0"
14,43,0,62.3970324812465,"14:43:0"
14,43,0,62.5537409331488,"14:43:0"
14,43,0,62.4663064043362,"14:43:0"
14,43,0,62.4960311871847,"14:43:0"
14,43,0,62.2202482867429,"14:43:0"
14,43,0,62.2133651247483,"14:43:0"
14,43,0,62.0907285829671,"14:43:0"
14,43,0,62.0968063228107,"14:43:0"
14,43,0,62.5038329276952,"14:43:0"
14,43,0,62.3137383986528,"14:43:0"
14,44,0,62.1507592032003,"14:44:0"
14,44,0,62.3035746166953,"14:44:0"
14,44,0,62.1911819658023,"14:44:0"
14,44,0,62.1529534209542,"14:44:0"
14,44,0,62.118358537566,"14:44:0"
14,44,0,62.3147887957951,"14:44:0"
14,44,0,62.3357536363488,"14:44:0"
14,44,0,62.1980963971386,"14:44:0"
14,44,0,62.5496596066459,"14:44:0"
14,44,0,62.2476254466069,"14:44:0"
