"hr8","min","sec","dBA","Time"
14,52,0,62.240744071091,"14:52:0"
14,52,0,62.3447398301376,"14:52:0"
14,52,0,62.1651190983187,"14:52:0"
14,52,0,62.1307959630531,"14:52:0"
14,52,0,62.1049991367259,"14:52:0"
14,52,0,62.3664384156745,"14:52:0"
14,52,0,61.9380314566915,"14:52:0"
14,52,0,62.320402839984,"14:52:0"
14,52,0,62.4593671688492,"14:52:0"
14,52,0,62.2715062977248,"14:52:0"
14,52,0,62.2052982368645,"14:52:0"
14,52,0,62.233081120446,"14:52:0"
14,52,0,62.5731345125441,"14:52:0"
14,52,0,62.2170812214746,"14:52:0"
14,52,0,62.3124855606934,"14:52:0"
14,52,0,62.3912093504249,"14:52:0"
14,52,0,62.0208772593761,"14:52:0"
14,52,0,62.2340854238189,"14:52:0"
14,52,0,61.8996722882961,"14:52:0"
14,52,0,62.4079654035149,"14:52:0"
14,52,0,62.1777093056664,"14:52:0"
14,52,0,62.1703389372174,"14:52:0"
14,52,0,61.9022526150084,"14:52:0"
14,52,0,62.3705118910833,"14:52:0"
14,52,0,62.1917645564823,"14:52:0"
14,52,0,62.1687398497006,"14:52:0"
14,52,0,62.1689734810254,"14:52:0"
14,52,0,62.1140770840374,"14:52:0"
14,52,0,62.1281132615729,"14:52:0"
14,52,0,62.0765425574717,"14:52:0"
14,52,0,61.9940772534099,"14:52:0"
14,52,0,62.404987845766,"14:52:0"
14,52,0,62.2801994707208,"14:52:0"
14,52,0,62.2105408558299,"14:52:0"
14,52,0,62.027346520505,"14:52:0"
14,52,0,62.190418101911,"14:52:0"
14,52,0,62.0556094421126,"14:52:0"
14,52,0,61.9995065756112,"14:52:0"
14,52,0,62.1093317721985,"14:52:0"
14,52,0,62.1804890520224,"14:52:0"
14,52,0,62.461978112672,"14:52:0"
14,52,0,62.1776326179654,"14:52:0"
14,52,0,62.3532122084858,"14:52:0"
14,52,0,62.0432940921379,"14:52:0"
14,52,0,62.4156762870933,"14:52:0"
14,52,0,62.1553496622455,"14:52:0"
14,52,0,62.4402430920859,"14:52:0"
14,52,0,62.4283273354359,"14:52:0"
14,52,0,61.8215431065924,"14:52:0"
14,52,0,62.2625837119034,"14:52:0"
14,52,0,62.2103722617447,"14:52:0"
14,52,0,62.4474135931179,"14:52:0"
14,52,0,62.3080430780456,"14:52:0"
14,52,0,62.201489902561,"14:52:0"
14,52,0,62.0779081197863,"14:52:0"
14,52,0,62.0365551818325,"14:52:0"
14,52,0,62.2433027717549,"14:52:0"
14,52,0,62.5495832125996,"14:52:0"
14,53,0,62.3604803883762,"14:53:0"
14,53,0,62.3920485565781,"14:53:0"
14,53,0,62.223708018181,"14:53:0"
14,53,0,62.2603737460052,"14:53:0"
14,53,0,62.2733439576552,"14:53:0"
14,53,0,62.2473524771582,"14:53:0"
14,53,0,62.4005591174499,"14:53:0"
14,53,0,61.9780525054739,"14:53:0"
14,53,0,62.0720221656673,"14:53:0"
14,53,0,62.4161554937815,"14:53:0"
14,53,0,62.1614830954788,"14:53:0"
14,53,0,62.2961472355574,"14:53:0"
14,53,0,62.1804829000837,"14:53:0"
14,53,0,62.2702447028643,"14:53:0"
14,53,0,62.1434535718694,"14:53:0"
14,53,0,62.0320541160535,"14:53:0"
14,53,0,62.3350457556221,"14:53:0"
14,53,0,62.2681648564379,"14:53:0"
14,53,0,62.090220254636,"14:53:0"
14,53,0,62.0955144590559,"14:53:0"
14,53,0,62.5390325188348,"14:53:0"
14,53,0,62.5488729421659,"14:53:0"
14,53,0,62.1704754715871,"14:53:0"
14,53,0,62.1301033635506,"14:53:0"
14,53,0,62.4925017543678,"14:53:0"
14,53,0,62.2890224844705,"14:53:0"
14,53,0,61.9581391815664,"14:53:0"
14,53,0,62.1865851175106,"14:53:0"
14,53,0,62.1849026920597,"14:53:0"
14,53,0,62.3210895392564,"14:53:0"
14,53,0,62.2557097779392,"14:53:0"
14,53,0,62.2494042046123,"14:53:0"
14,53,0,62.1689551211606,"14:53:0"
14,53,0,61.8877302905382,"14:53:0"
14,53,0,62.2361832895412,"14:53:0"
14,53,0,61.9604880797989,"14:53:0"
14,53,0,62.0972800427895,"14:53:0"
14,53,0,62.2387031627749,"14:53:0"
14,53,0,62.1308112215697,"14:53:0"
14,53,0,62.3777346734865,"14:53:0"
14,53,0,62.1629789979876,"14:53:0"
14,53,0,62.1683903771106,"14:53:0"
14,53,0,62.2876243001249,"14:53:0"
14,53,0,62.4301574829974,"14:53:0"
14,53,0,62.3820115645587,"14:53:0"
14,53,0,62.1402531121897,"14:53:0"
14,53,0,62.2982160153377,"14:53:0"
14,53,0,62.4140482498901,"14:53:0"
14,53,0,62.0034564600427,"14:53:0"
