"hr8","min","sec","dBA","Time"
14,34,0,42.2708748350779,"14:34:0"
14,34,0,40.4304428293485,"14:34:0"
14,34,0,42.7090554850907,"14:34:0"
14,34,0,40.5819399107791,"14:34:0"
14,34,0,59.0681632152373,"14:34:0"
14,34,0,62.202444605184,"14:34:0"
14,34,0,62.5376158454689,"14:34:0"
14,34,0,62.5467379229229,"14:34:0"
14,34,0,62.6851643427308,"14:34:0"
14,34,0,62.557489771223,"14:34:0"
14,34,0,62.4904310087505,"14:34:0"
14,34,0,62.4646228163893,"14:34:0"
14,34,0,62.4147244964728,"14:34:0"
14,34,0,62.3240755673936,"14:34:0"
14,34,0,62.4545674318066,"14:34:0"
14,34,0,62.3355741967448,"14:34:0"
14,34,0,62.4832482062996,"14:34:0"
14,34,0,62.22520374816,"14:34:0"
14,34,0,62.1388421315968,"14:34:0"
14,34,0,62.3229721593726,"14:34:0"
14,34,0,62.2708052687498,"14:34:0"
14,34,0,62.4767217685668,"14:34:0"
14,34,0,62.0700728299236,"14:34:0"
14,34,0,62.1410550555814,"14:34:0"
14,34,0,62.2722074380416,"14:34:0"
14,34,0,62.3238310538464,"14:34:0"
14,34,0,62.0016615002482,"14:34:0"
14,34,0,62.0725427692892,"14:34:0"
14,34,0,62.3833622538273,"14:34:0"
14,34,0,62.4452155507258,"14:34:0"
14,34,0,62.2639826870511,"14:34:0"
14,34,0,62.5821962455363,"14:34:0"
14,34,0,62.327398357143,"14:34:0"
14,34,0,62.4360427003683,"14:34:0"
14,34,0,62.4476635621094,"14:34:0"
14,34,0,62.3275532522533,"14:34:0"
14,34,0,62.1433374491841,"14:34:0"
14,34,0,62.3615772511727,"14:34:0"
14,34,0,62.6028944308156,"14:34:0"
14,34,0,62.6198002372225,"14:34:0"
14,34,0,62.3192054797969,"14:34:0"
14,34,0,62.270130073784,"14:34:0"
14,34,0,62.1176931616406,"14:34:0"
14,34,0,62.139126109398,"14:34:0"
14,34,0,62.2983722961064,"14:34:0"
14,34,0,62.2771827744381,"14:34:0"
14,34,0,62.2984479941885,"14:34:0"
14,34,0,62.2132724381848,"14:34:0"
14,35,0,62.2362841155472,"14:35:0"
14,35,0,62.3767377643793,"14:35:0"
14,35,0,62.3851004813333,"14:35:0"
14,35,0,62.4027177497877,"14:35:0"
14,35,0,62.4262779228131,"14:35:0"
14,35,0,62.4963869684928,"14:35:0"
14,35,0,62.1651794878465,"14:35:0"
14,35,0,62.4600494157033,"14:35:0"
14,35,0,62.1493046482112,"14:35:0"
14,35,0,62.1727372667092,"14:35:0"
14,35,0,62.5455061271027,"14:35:0"
